Parameters: A, B & C	

a: 13.8+/-0.7
b: 0.56+/-0.09
c: 6.71+/-0.33
d: 

Plotting Data: Predicted 

16.00 13.77
15.48 13.74
14.97 13.71
14.45 13.66
13.93 13.60
13.41 13.52
12.90 13.42
12.38 13.28
11.86 13.10
11.34 12.87
10.83 12.58
10.31 12.21
9.79 11.74
9.28 11.17
8.76 10.50
8.24 9.71
7.72 8.83
7.21 7.88
6.69 6.89
6.17 5.90
5.66 4.95
5.14 4.07
4.62 3.30
4.10 2.63
3.59 2.07
3.07 1.61
2.55 1.24
2.03 0.95
1.52 0.73
1.00 0.55


Plotting Data: Confidence Interval Upper	

16.00 15.79
15.48 15.74
14.97 15.68
14.45 15.61
13.93 15.53
13.41 15.43
12.90 15.31
12.38 15.16
11.86 14.96
11.34 14.72
10.83 14.41
10.31 14.03
9.79 13.55
9.28 12.98
8.76 12.30
8.24 11.51
7.72 10.63
7.21 9.68
6.69 8.69
6.17 7.71
5.66 6.76
5.14 5.90
4.62 5.13
4.10 4.47
3.59 3.93
3.07 3.49
2.55 3.14
2.03 2.87
1.52 2.66
1.00 2.51


Plotting Data: Confidence Interval Lower	

16.00 11.74
15.48 11.74
14.97 11.73
14.45 11.71
13.93 11.67
13.41 11.62
12.90 11.53
12.38 11.41
11.86 11.25
11.34 11.03
10.83 10.75
10.31 10.38
9.79 9.93
9.28 9.37
8.76 8.69
8.24 7.91
7.72 7.03
7.21 6.08
6.69 5.08
6.17 4.09
5.66 3.13
5.14 2.25
4.62 1.46
4.10 0.78
3.59 0.21
3.07 -0.26
2.55 -0.65
2.03 -0.96
1.52 -1.20
1.00 -1.40
